LATIN SMALL LETTER Z WITH SWASH TAIL, 576
LATIN CAPITAL LETTER GLOTTAL STOP, 577
LATIN SMALL LETTER GLOTTAL STOP, 578
LATIN CAPITAL LETTER B WITH STROKE, 579
LATIN CAPITAL LETTER U BAR, 580
LATIN CAPITAL LETTER TURNED V, 581
LATIN CAPITAL LETTER E WITH STROKE, 582
LATIN SMALL LETTER E WITH STROKE, 583
LATIN CAPITAL LETTER J WITH STROKE, 584
LATIN SMALL LETTER J WITH STROKE, 585
LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL, 586
LATIN SMALL LETTER Q WITH HOOK TAIL, 587
LATIN CAPITAL LETTER R WITH STROKE, 588
LATIN SMALL LETTER R WITH STROKE, 589
LATIN CAPITAL LETTER Y WITH STROKE, 590
LATIN SMALL LETTER Y WITH STROKE, 591
LATIN SMALL LETTER TURNED A, 592
LATIN SMALL LETTER ALPHA, 593
LATIN SMALL LETTER TURNED ALPHA, 594
LATIN SMALL LETTER B WITH HOOK, 595
LATIN SMALL LETTER OPEN O, 596
LATIN SMALL LETTER C WITH CURL, 597
LATIN SMALL LETTER D WITH TAIL, 598
LATIN SMALL LETTER D WITH HOOK, 599
LATIN SMALL LETTER REVERSED E, 600
LATIN SMALL LETTER SCHWA, 601
LATIN SMALL LETTER SCHWA WITH HOOK, 602
